format,bits,frac_exact_zero,rel_l1_recon_error
per_tensor,4,0.996124267578125,0.907978355884552
per_channel,4,0.9944667816162109,0.8995612859725952
group128,4,0.4380807876586914,0.3650343716144562
block32,4,0.21546268463134766,0.16508890688419342
mx_e8m0,4,0.21541500091552734,0.18738211691379547
per_tensor,8,0.2757430076599121,0.1985483318567276
per_channel,8,0.17002344131469727,0.12064448744058609
group128,8,0.0388636589050293,0.027336152270436287
block32,8,0.01578044891357422,0.010951465927064419
mx_e8m0,8,0.015758991241455078,0.029776450246572495
