num_rows,row_nbytes,k,k_over_num_rows,bytes_transferred,staged_median_us,staged_p90_us,naive_median_us,naive_p90_us,naive_over_staged_ratio
11008,2560,11008,1.0,28180480,6887.696027755737,7723.936080932617,36256.608963012695,64492.034912109375,5.263967634011053
11008,2560,8256,0.75,21135360,5200.031995773315,7056.640148162842,30184.080123901367,67052.5131225586,5.804595077190979
11008,2560,5504,0.5,14090240,2980.128049850464,3325.632095336914,20108.400344848633,40458.465576171875,6.747495412439619
11008,2560,4128,0.375,10567680,2141.9520378112793,3968.672037124634,14227.215766906738,17568.44711303711,6.6421728945175635
11008,2560,2752,0.25,7045120,1322.2560286521912,1377.7600526809692,16763.0558013916,29194.528579711914,12.677617222497073
11008,2560,1376,0.125,3522560,670.4640090465546,711.7440104484558,4972.975969314575,10425.344467163086,7.4172153944347965
17408,2560,17408,1.0,44564480,17053.215980529785,23611.040115356445,52745.391845703125,79948.02856445312,3.0929879681301324
17408,2560,13056,0.75,33423360,8645.936012268066,9044.384002685547,36421.83876037598,41646.11053466797,4.212596381547997
17408,2560,8704,0.5,22282240,5651.183843612671,6162.591934204102,24269.776344299316,24394.975662231445,4.294635781798281
17408,2560,6528,0.375,16711680,3592.8159952163696,3867.8719997406006,18198.784828186035,18448.16017150879,5.06532615430812
17408,2560,4352,0.25,11141120,2040.9280061721802,2191.7760372161865,13695.104122161865,14848.159790039062,6.7102338155707075
17408,2560,2176,0.125,5570560,969.9360132217407,1003.6159753799438,6063.583850860596,6104.864120483398,6.251529758875318
27648,2560,27648,1.0,70778880,20037.327766418457,20814.495086669922,78926.0482788086,89218.17779541016,3.9389508021665764
27648,2560,20736,0.75,53084160,14752.624034881592,15406.720161437988,59017.391204833984,66433.53271484375,4.000467378907733
27648,2560,13824,0.5,35389440,9279.248237609863,9643.296241760254,39412.00065612793,45215.423583984375,4.247326900511891
27648,2560,10368,0.375,26542080,6617.599964141846,6951.935768127441,32132.688522338867,94163.49029541016,4.8556408209098745
27648,2560,6912,0.25,17694720,3792.03200340271,3987.0080947875977,19711.984634399414,19788.60855102539,5.198264312303068
27648,2560,3456,0.125,8847360,1545.248031616211,1588.703989982605,9866.127967834473,9913.344383239746,6.384818337231764
