I,k,k_over_I,median_us,p90_us
11008,11008,1.0,1940.384030342102,1985.0879907608032
11008,8256,0.75,817.6000118255615,827.3919820785522
11008,5504,0.5,795.056015253067,802.079975605011
11008,4128,0.375,752.8960108757019,768.4159874916077
11008,2752,0.25,745.4720139503479,760.1600289344788
11008,1376,0.125,736.816018819809,739.3280267715454
17408,17408,1.0,1495.199978351593,1503.551959991455
17408,13056,0.75,1470.4639911651611,1482.751965522766
17408,8704,0.5,1446.1439847946167,1457.759976387024
17408,6528,0.375,1428.0800223350525,1440.000057220459
17408,4352,0.25,1408.735990524292,1414.6239757537842
17408,2176,0.125,1356.768012046814,1382.815957069397
27648,27648,1.0,2387.968063354492,2397.7279663085938
27648,20736,0.75,2357.248067855835,2370.9120750427246
27648,13824,0.5,2326.5280723571777,2336.0960483551025
27648,10368,0.375,2310.976028442383,2321.0880756378174
27648,6912,0.25,2295.8080768585205,2306.4000606536865
27648,3456,0.125,2280.911922454834,2291.680097579956
